activity,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10
WALKING,0.289,-0.0203,-0.133,0.995,-0.983,0.914,0.152,0.081,0.006,-0.104
WALKING,0.278,-0.0164,-0.124,0.998,-0.975,0.96,0.133,0.108,-0.006,-0.105
WALKING_UPSTAIRS,0.279,-0.0195,-0.113,0.995,-0.967,0.979,0.114,0.106,0.008,-0.097
WALKING_UPSTAIRS,0.279,-0.0262,-0.123,0.996,-0.983,0.99,0.204,0.069,0.009,-0.096
WALKING_DOWNSTAIRS,0.277,-0.0194,-0.116,0.998,-0.971,0.979,0.156,0.107,0.019,-0.109
WALKING_DOWNSTAIRS,0.277,-0.026,-0.118,0.998,-0.986,0.991,0.171,0.047,0.012,-0.11
SITTING,0.277,-0.0173,-0.109,1,-0.995,0.988,0.007,-0.004,0.014,0.019
SITTING,0.277,-0.0173,-0.109,1,-0.995,0.988,-0.002,-0.002,0.009,0.02
STANDING,0.276,-0.0186,-0.106,1,-0.996,0.988,0.003,0.001,0.013,0.02
STANDING,0.276,-0.0186,-0.106,1,-0.996,0.988,0.001,-0.001,0.012,0.021
LAYING,0.222,0.001,-0.152,0.928,-0.837,0.952,-0.041,0.032,0.024,-0.024
LAYING,0.281,-0.0182,-0.107,0.998,-0.971,0.98,0.003,-0.002,0.008,0.02
WALKING,0.28,-0.0194,-0.113,0.996,-0.983,0.979,0.128,0.108,0.009,-0.097
WALKING,0.279,-0.0262,-0.123,0.996,-0.983,0.99,0.204,0.069,0.009,-0.096
WALKING_UPSTAIRS,0.278,-0.0164,-0.124,0.998,-0.975,0.96,0.133,0.108,-0.006,-0.105
WALKING_UPSTAIRS,0.289,-0.0203,-0.133,0.995,-0.983,0.914,0.152,0.081,0.006,-0.104
WALKING_DOWNSTAIRS,0.277,-0.0173,-0.109,1,-0.995,0.988,0.007,-0.004,0.014,0.019
WALKING_DOWNSTAIRS,0.277,-0.0186,-0.106,1,-0.996,0.988,0.001,-0.001,0.012,0.021
SITTING,0.276,-0.0186,-0.106,1,-0.996,0.988,0.003,0.001,0.013,0.02
SITTING,0.222,0.001,-0.152,0.928,-0.837,0.952,-0.041,0.032,0.024,-0.024
STANDING,0.281,-0.0182,-0.107,0.998,-0.971,0.98,0.003,-0.002,0.008,0.02
STANDING,0.277,-0.0194,-0.116,0.998,-0.971,0.979,0.156,0.107,0.019,-0.109
LAYING,0.277,-0.026,-0.118,0.998,-0.986,0.991,0.171,0.047,0.012,-0.11
LAYING,0.277,-0.0173,-0.109,1,-0.995,0.988,-0.002,-0.002,0.009,0.02
